Subject Number	Block	FI	Left Avg Pupil Diameter FI	Right Avg Pupil Diameter FI	avg pupil dilation FI left user side of screen coords	avg pupil dilation FI right user side of screen coords	Response Time FI	Not FI	Left Avg Pupil Diameter Not FI	Right Avg Pupil Diameter Not FI	avg pupil dilation not FI left user side of screen coords	avg pupil dilation not FI right user side of screen coords	Response Time Not FI
1	1	0	0	0	0	0	0	10	3.681541778	3.928620875	2.593974873	2.72580334	3.51519
1	3	7	3.720451235	3.965418816	3.710877615	3.967353628	3.285728571	3	3.81651292	4.091303236	1.243935198	1.320622762	4.3157
3	1	5	3.22373313	2.995079862	3.167433879	3.011887023	4.37416	5	3.205946349	3.003043233	3.200791137	2.934548988	3.81986
3	3	5	3.062248969	2.863163406	2.997890613	2.859151795	2.57764	5	3.117896062	2.917839292	3.156135016	2.895430173	3.37282
5	1	6	4.9659128	5.262844707	4.91657402	5.286189478	7.542783333	4	4.943819939	5.22574072	4.972237813	5.209888138	6.1183
5	3	8	4.81609648	5.158065637	4.760139848	5.149701173	7.764175	2	4.683370203	5.010751144	4.716472986	5.019258828	9.98645
6	1	6	3.600909158	3.256796369	3.582403664	3.265221833	3.216216667	4	3.574599117	3.254827672	3.587773956	3.230196153	3.034025
6	3	4	3.616487173	3.253105503	3.620778693	3.278641319	4.85035	6	3.55246555	3.194718155	3.60673875	3.205951876	5.172316667
7	1	6	3.802590054	4.091144602	3.792403724	4.094714439	2.344516667	4	3.882796047	4.188172298	3.853101214	4.119368168	2.751025
7	3	5	3.759986274	4.070812598	3.721702153	4.045833134	1.97312	5	3.812586178	4.150163448	3.801947893	4.090078539	2.0908
10	1	5	4.015761628	4.003567232	4.011077378	4.03253457	6.9123	5	4.061456839	4.015711418	4.057050918	4.00408938	11.9754
10	3	5	3.811134269	3.818157187	3.810723113	3.851103514	8.84954	5	3.864360552	3.858556206	3.907098888	3.892078623	6.82752
11	1	6	4.252160546	4.51254446	4.26826122	4.537170026	3.263833333	4	4.19334411	4.473567105	4.105414899	4.401272775	4.014075
11	3	5	4.163329886	4.483062085	4.155707165	4.492168343	4.01438	5	4.315659139	4.635879291	4.354398494	4.665818177	4.2405
12	1	4	4.121407806	4.469895127	4.161715283	4.598917383	3.706025	6	4.189594598	4.57192477	4.148867276	4.445663951	3.986766667
12	3	6	4.06099496	4.49837019	4.115957979	4.600265719	3.151833333	4	4.230216864	4.669101044	4.183723137	4.565706897	3.083025
14	1	6	2.801422715	2.852584034	2.761580608	2.805418937	6.661916667	4	2.668421688	2.603179463	2.706982063	2.62073381	10.9221
14	3	6	2.630148983	2.591828633	2.57996166	2.573025743	6.674533333	4	2.582739494	2.528051654	2.660667574	2.591413112	6.9834
15	1	5	3.996759746	3.999810748	3.987900002	3.94711789	7.99362	5	4.070521845	4.05527662	3.932102643	3.929904051	6.81606
15	3	6	3.930933868	3.889594392	3.927257153	3.872604609	6.282516667	4	3.931770925	3.913130087	4.001317205	3.903642463	5.8561
16	1	5	3.726216663	3.937163528	3.708930745	3.935763611	6.37724	5	3.688292055	3.892710144	3.680372415	3.877909366	5.06546
16	3	6	3.658617307	3.833772994	3.632539401	3.820885114	6.114216667	4	3.607541712	3.793508201	3.629389163	3.808686877	5.4241
17	1	8	3.512723379	3.448612446	3.534799686	3.512762116	4.714125	2	3.561198613	3.444098824	3.589084864	3.421119017	4.0115
17	3	3	3.350937023	3.311255909	3.298138257	3.292705525	4.1424	7	3.416269592	3.391729785	3.473231176	3.416126184	5.1313
18	1	6	3.713953635	3.660545591	3.726755691	3.672998762	5.170366667	4	3.633279039	3.588737669	3.593315939	3.579679928	6.982675
18	3	4	3.601417409	3.5647464	3.574702296	3.535655325	7.5596	6	3.593225816	3.541830807	3.597735403	3.563008445	6.4861
19	1	5	2.954696362	3.114153376	2.932367795	3.143292088	1.96386	5	2.904253201	3.078977378	2.954634583	3.058805702	2.03722
19	3	8	3.136005079	3.298224351	3.144613253	3.354135356	1.6189125	2	3.08608567	3.193250673	3.117721635	3.147013856	1.66035
20	1	4	4.203956625	4.153909768	4.19461463	4.176224611	5.6659	6	4.270259679	4.235841018	4.281808688	4.222124651	5.764733333
20	3	6	4.177054353	4.087383532	4.151391128	4.092734986	4.570816667	4	4.16457001	4.105649939	4.130931823	4.028725504	4.971925
21	1	7	4.940166537	4.598168065	4.929841158	4.636750436	4.274542857	3	5.030494154	4.665339337	5.090257952	4.65805403	3.556566667
21	3	6	4.582063907	4.210604092	4.555496701	4.246048456	4.898033333	4	4.64654137	4.28388205	4.753180124	4.322875275	5.708375
