Subject Number	Block	FI	L Eye Avg Pupil FI	R Eye Avg Pupil FI	L Side Avg Pupil FI 	R Side Avg Pupil FI	RT FI	Not FI	L Eye Avg Pupil Not FI	R Eye Avg Pupil Not FI	L Side Avg Pupil Not FI	R Side Avg Pupil Not FI	RT Not FI
1	4	0	0	0	0	0	0	9	3.61387798	3.892191481	3.273360597	3.469656581	2.76222
1	6	9	3.741300782	3.988958816	3.714967555	3.98119088	2.700066667	1	3.819338029	4.072601647	3.742637634	3.923286438	3.0712
3	4	0	0	0	0	0	0	10	3.250372884	2.879585087	3.246793929	2.874145202	2.98201
3	6	9	3.2115018	2.819288663	3.170659456	2.782383607	3.575022222	1	2.916243104	2.575843823	2.970491409	2.612636475	5.2689
5	4	5	4.762385719	5.160894615	4.753590122	5.220601933	8.03824	5	4.897261641	5.297124038	4.993120141	5.250697594	6.49134
5	6	8	4.857140178	5.24252545	4.777403334	5.239216781	5.5419375	2	4.730976236	5.127831175	4.723321909	5.043758045	7.0515
6	4	3	3.394516307	3.098007715	3.412490679	3.138885796	4.684533333	7	3.527400209	3.205768787	3.578304266	3.222393686	3.308385714
6	6	8	3.551997128	3.258181326	3.534560444	3.268234357	3.2490375	2	3.579776744	3.281399315	3.61315785	3.28587698	5.13055
7	4	2	3.825216759	4.068719945	3.807826243	4.081726114	1.8378	8	3.811756704	4.094834718	3.784602883	4.024156823	2.17475
7	6	7	3.819351015	4.052929571	3.819948148	4.065472523	2.836842857	3	3.789227805	4.051663899	3.701417374	3.907014541	3.043933333
10	4	4	3.764586266	3.783685667	3.736238198	3.776623392	3.500325	6	3.828499598	3.82939654	3.836808065	3.823154125	6.818316667
10	6	8	3.71609085	3.716324883	3.72967139	3.750857543	3.297175	2	3.625434459	3.607117012	3.629027837	3.607017695	5.98585
11	4	5	4.110666682	4.431781839	4.096496155	4.417234437	4.30872	5	4.054015938	4.364971791	4.036373967	4.360855513	4.48532
11	6	7	3.888833374	4.184171355	3.839746493	4.128363315	4.595457143	3	3.958697832	4.326446941	3.987373525	4.386364497	4.364366667
12	4	3	3.839240356	4.16378482	3.831978425	4.188782262	3.9235	7	3.792427936	4.11675879	3.809481168	4.114935049	2.841285714
12	6	6	3.722197073	3.995220528	3.696160499	4.005828683	2.94945	4	3.679038023	3.956902297	3.714319718	3.97198383	2.296675
14	4	2	2.68478129	2.573177227	2.686608509	2.659982479	6.30265	8	2.691890525	2.599399285	2.787685813	2.644344522	6.0401375
14	6	8	2.542433639	2.486185288	2.565133901	2.573666659	6.1789625	2	2.691911334	2.585794768	2.764362872	2.633600953	4.95105
15	4	3	3.996779195	3.968134358	4.015697736	3.98569269	4.444233333	7	3.978862562	3.957608402	3.946794174	3.932458945	5.6096
15	6	8	4.012330477	3.927654983	4.018882168	3.93034197	4.7721875	2	3.999116396	3.920147703	3.927562181	3.865581131	4.8793
16	4	4	3.488280094	3.601373064	3.427151637	3.551665336	2.51435	6	3.548524791	3.669844748	3.560012686	3.674184204	4.26905
16	6	7	3.450665759	3.553837347	3.474314964	3.589245984	4.758314286	3	3.404367765	3.506410971	3.438090326	3.536964978	4.0131
17	4	3	3.413088719	3.410010397	3.405433239	3.455153092	4.6172	7	3.392194313	3.407398165	3.405377436	3.393926139	5.937242857
17	6	7	3.303965823	3.342080462	3.311410361	3.413280764	5.018114286	3	3.291875666	3.311274994	3.311515297	3.321637922	6.087366667
18	4	4	3.62510656	3.584199188	3.651231323	3.600063756	5.160125	6	3.690840214	3.673286485	3.687711187	3.695982647	5.218016667
18	6	9	3.454160462	3.450063748	3.461075515	3.442166566	5.0277	1	3.598331224	3.571670962	3.597010923	3.592141998	5.8975
19	4	4	2.865899859	3.038649746	2.873566519	3.090730554	1.348425	6	2.830633092	3.000369318	2.89136831	3.003089242	2.17835
19	6	6	2.79591221	2.97634754	2.817566443	3.05752766	1.98925	4	2.819905458	3.025601657	2.850053644	2.986366337	2.670575
20	4	4	4.087688641	4.032821424	4.092200164	4.056598303	4.7051	4	4.10652906	4.034376235	4.096261963	3.99060886	4.703716667
20	6	8	4.107951525	4.028765902	4.090245578	4.033001604	4.2943375	2	4.040393833	3.98608951	4.001069263	3.934664558	3.59855
21	4	2	4.423853931	4.144115582	4.448536758	4.200478133	5.28795	8	4.536296323	4.261464542	4.588955699	4.228234277	4.485075
21	6	8	4.329553246	4.042774087	4.33563124	4.082296849	4.7427125	2	4.423218665	4.109299476	4.35670138	3.988288452	5.6261
